Namespace,Collection Size (bytes),Document Count,Average Object Size (bytes),Storage Size,Number of Indexes,Total Index Size (bytes)
ahoy_events,162817150.0,888150.0,-8.0,108851200.0,0.0,3399680.0
answer_images,8676.0,40.0,0.0,0.0,0.0,0.0
archived_call_attempts,191398986999.0,28386880.0,698.0,66379907072.0,0.0,5781729280.0
atlas_device_tokens,0.0,0.0,0.0,0.0,0.0,0.0
atlas_enrollments,0.0,0.0,0.0,0.0,0.0,0.0
atlas_faq_topics,0.0,0.0,0.0,0.0,0.0,0.0
atlas_faqs,0.0,0.0,0.0,0.0,0.0,0.0
atlas_interaction_attempts,0.0,0.0,0.0,0.0,0.0,0.0
atlas_patient_notifications,32307.0,165.0,0.0,4096.0,0.0,8192.0
atlas_service_request_configurations,0.0,0.0,0.0,0.0,0.0,0.0
atlas_users,0.0,0.0,0.0,0.0,0.0,0.0
attachment_images,0.0,0.0,0.0,0.0,0.0,0.0
attachments,168779.0,522.0,0.0,978944.0,0.0,266240.0
audio_clips,0.0,0.0,0.0,0.0,0.0,0.0
badge_earnings,49253088.0,154538.0,0.0,22306816.0,0.0,15233024.0
ben_test,44.0,1.0,44.0,16384.0,1.0,16384.0
blacklisted_phones,4140.0,36.0,0.0,86016.0,0.0,8192.0
cached_answer_recordings,487078.0,996.0,-8.0,176128.0,0.0,24576.0
call_attempts,2382870551.0,987261.0,36.0,3581812736.0,0.0,1125601280.0
call_centers,13693.0,55.0,0.0,-69632.0,0.0,-20480.0
call_hour_infos,652758369.0,187566.0,189.0,454877184.0,0.0,770048.0
calls_thirty,0.0,0.0,,4096.0,1.0,4096.0
care_form_config_assets,101.0,1.0,0.0,20480.0,0.0,40960.0
care_form_config_forms,-7264.0,-5.0,465.0,0.0,0.0,0.0
care_form_forms,493164205.0,22265.0,-48.0,432082944.0,0.0,3493888.0
care_gap_measurements,-42361.0,0.0,-1.0,-196608.0,0.0,1028096.0
care_gap_measures,0.0,0.0,0.0,0.0,0.0,0.0
care_gram_email_templates,3447.0,9.0,2.0,4096.0,0.0,0.0
care_gram_emails,7100270.0,51997.0,1.0,1966080.0,0.0,2560000.0
care_grams,75174665.0,66372.0,7.0,45789184.0,0.0,5898240.0
care_grams_email_images,0.0,0.0,0.0,0.0,0.0,0.0
care_management_enrollments,1813464.0,6402.0,0.0,905216.0,0.0,442368.0
care_provider_logo_images,408.0,4.0,0.0,0.0,0.0,0.0
care_providers,194780.0,19.0,142.0,-106496.0,0.0,0.0
care_referrals,-709.0,-2.0,0.0,57344.0,0.0,8192.0
care_teams,894520.0,3764.0,0.0,512000.0,0.0,880640.0
chat_messages,945.0,2.0,0.0,118784.0,0.0,24576.0
chat_rooms,331379.0,2033.0,0.0,397312.0,0.0,106496.0
claims,0.0,0.0,0.0,0.0,0.0,0.0
comments,120038903.0,213416.0,1.0,69873664.0,0.0,19681280.0
community_resources,0.0,0.0,0.0,0.0,0.0,0.0
conditional_formats,31183.0,118.0,0.0,98304.0,0.0,49152.0
criteria_choices,0.0,0.0,0.0,0.0,0.0,0.0
custom_converters,469539.0,30.0,649.0,204800.0,0.0,0.0
data_exchange_export_attempts,120613832.0,82168.0,130.0,77377536.0,0.0,5181440.0
data_exchange_export_file_chunks,833032192.0,619396.0,-347.0,844656640.0,0.0,14778368.0
data_exchange_file_import_chunks,94708166055.0,2870710.0,-121.0,32925634560.0,0.0,90075136.0
data_exchange_file_pre_process_attempts,0.0,0.0,0.0,0.0,0.0,0.0
data_exchange_hl7_exports,13523674074.0,2761931.0,-6010.0,11004276736.0,0.0,211406848.0
data_exchange_hl7_imports,5380825545.0,6674972.0,-92.0,5674741760.0,0.0,1758035968.0
data_exchange_hl7_mapping_associations,33266.0,31.0,-15.0,16384.0,0.0,0.0
data_exchange_outbound_messages_settings_outbound_message_settings,7779.0,23.0,-10.0,0.0,0.0,8192.0
data_exchange_patient_identifier_conversions,0.0,0.0,0.0,0.0,0.0,0.0
data_exchange_readmission_import_chunks,297635566.0,2090.0,12679.0,236589056.0,0.0,49152.0
data_exchange_readmission_imports,17827.0,35.0,15.0,8192.0,0.0,0.0
data_views,2415608.0,1243.0,51.0,2105344.0,0.0,36864.0
deleted_document_events,12486779815.0,39974739.0,-6.0,3410591744.0,0.0,1055117312.0
deleted_encounter_events,174533412.0,918291.0,3.0,82620416.0,0.0,24109056.0
deleted_interaction_events,941444906.0,4619223.0,8.0,257245184.0,0.0,209035264.0
deleted_issue_events,205863.0,1052.0,4.0,94208.0,0.0,45056.0
deleted_patient_events,4538458.0,27620.0,2.0,0.0,0.0,811008.0
deleted_report_package_events,173490.0,626.0,2.0,135168.0,0.0,16384.0
departments,11019929.0,34890.0,-12.0,3645440.0,0.0,1277952.0
diagnoses,5775492.0,24128.0,1.0,2363392.0,0.0,1323008.0
echo_audio_instructions,0.0,0.0,0.0,0.0,0.0,0.0
echo_encounters,0.0,0.0,0.0,-12288.0,0.0,0.0
echo_settings,-453.0,-1.0,1.0,0.0,0.0,0.0
email_events,331038007.0,1200805.0,2.0,139100160.0,0.0,45817856.0
encounter_criteria,15512.0,35.0,-14.0,12288.0,0.0,8192.0
encounter_events,-33710513120.0,-282982913.0,23.0,-1974272.0,0.0,-2469888.0
encounter_merged_events,270441.0,1815.0,0.0,2347008.0,0.0,-274432.0
encounters,135338141051.0,84448852.0,20.0,50817941504.0,0.0,9498361856.0
enroll_attempts,31581.0,117.0,0.0,45056.0,0.0,8192.0
enrollment_enroll_attempts,19075.0,109.0,1.0,8192.0,0.0,8192.0
enrollment_enrollers,0.0,0.0,0.0,0.0,0.0,0.0
enrollment_events,9134022405.0,4825765.0,142.0,1801043968.0,0.0,661696512.0
enrollment_reports,13154856.0,84326.0,0.0,6656000.0,0.0,2453504.0
enrollments,1007575094.0,4107327.0,-19.0,280653824.0,0.0,222003200.0
export_events,5086662563.0,23678902.0,-1.0,1386389504.0,0.0,614649856.0
export_jobs,93763.0,121.0,25.0,61440.0,0.0,0.0
external_visits,8.0,0.0,1.0,0.0,0.0,0.0
facilities,10394.0,31.0,0.0,40960.0,0.0,8192.0
field_values_caches,23117633.0,585.0,940.0,15511552.0,0.0,8192.0
floorplan_floors,172.0,1.0,-162.0,28672.0,0.0,32768.0
floorplans_configuration_settings,0.0,0.0,0.0,0.0,0.0,0.0
form_field_settings,6709.0,18.0,-1.0,4096.0,0.0,0.0
fs.chunks,28485315836.0,537272.0,-6311.0,24652836864.0,0.0,29143040.0
fs.files,148620180.0,537012.0,0.0,94625792.0,0.0,192786432.0
goals,374501.0,1320.0,0.0,647168.0,0.0,4096.0
grievances,0.0,0.0,,0.0,0.0,16384.0
help_materials,13130.0,48.0,0.0,8192.0,0.0,0.0
high_reach_notifications,329647710.0,986227.0,2.0,86708224.0,0.0,16715776.0
history_trackers,9575993785.0,22406736.0,4.0,3991998464.0,0.0,3166093312.0
hl7_settings,8100.0,18.0,0.0,-8192.0,0.0,0.0
import_rules,0.0,0.0,0.0,0.0,0.0,0.0
integration_patient_tokens,0.0,0.0,,0.0,0.0,0.0
interaction_attempts,4546789.0,2075.0,56.0,0.0,0.0,45056.0
interactions,209514305131.0,20283425.0,577.0,83928739840.0,0.0,5351936000.0
issue_alerts,233883.0,149.0,1.0,94208.0,0.0,28672.0
issue_panels,1104817.0,166.0,88.0,708608.0,0.0,8192.0
issue_subpanels,2088501.0,1593.0,0.0,11784192.0,0.0,561152.0
issues,86737274134.0,1153556.0,8269.0,27617316864.0,0.0,212361216.0
key_metric_absolutes,1058958.0,4220.0,-1.0,3268608.0,0.0,-319488.0
key_metric_enroll_attempts,140644.0,485.0,0.0,393216.0,0.0,-1159168.0
key_metric_enrollers,-817.0,-2.0,2.0,0.0,0.0,0.0
key_metric_integrations,-379.0,-1.0,73.0,8192.0,0.0,0.0
key_metric_sources,0.0,0.0,0.0,0.0,0.0,0.0
kiosk_emails,13820454.0,15866.0,27.0,3506176.0,0.0,196608.0
kiosk_phone_configs,0.0,0.0,0.0,0.0,0.0,0.0
latent_recurrences,0.0,0.0,0.0,0.0,0.0,0.0
link_alerts,0.0,0.0,0.0,0.0,0.0,0.0
link_blueprints,0.0,0.0,0.0,0.0,0.0,32768.0
link_plans,0.0,0.0,0.0,28672.0,0.0,0.0
link_templates,0.0,0.0,0.0,0.0,0.0,0.0
location_comments,55700.0,93.0,76.0,16384.0,0.0,16384.0
location_groups,33066.0,248.0,0.0,32768.0,0.0,49152.0
location_interactions,1110218679.0,148441.0,-1078.0,311926784.0,0.0,36077568.0
location_issues,23953331.0,1417.0,2912.0,6651904.0,0.0,200704.0
location_tags,2075.0,18.0,1.0,0.0,0.0,0.0
locations,2907868.0,4862.0,-31.0,577536.0,0.0,122880.0
login_page_contents,-20.0,0.0,-20.0,4096.0,0.0,0.0
login_page_images,-12.0,0.0,-12.0,0.0,0.0,0.0
manual_enroll_attempts,0.0,0.0,,0.0,0.0,0.0
medication_orders,0.0,0.0,0.0,0.0,0.0,0.0
medications,1355195.0,3027.0,2.0,12398592.0,0.0,143360.0
messages,92486.0,340.0,0.0,77824.0,0.0,12288.0
migration_infos,30095136.0,56.0,49740.0,1552384.0,0.0,12288.0
mobile_store_versions,0.0,0.0,0.0,0.0,0.0,0.0
mongoid_semaphores,55.0,0.0,7.0,0.0,0.0,0.0
my_patient_panel_exports,270.0,2.0,-1.0,0.0,0.0,0.0
note_templates,0.0,0.0,0.0,0.0,0.0,0.0
observation_results,53246108.0,201108.0,-1.0,540450816.0,0.0,19439616.0
observations,3905112.0,16107.0,0.0,1138688.0,0.0,946176.0
orchid_badge_images,527.0,6.0,0.0,32768.0,0.0,4096.0
orchid_badges,99379.0,443.0,0.0,61440.0,0.0,8192.0
orchid_configuration_settings,45658.0,2.0,68.0,196608.0,0.0,0.0
orchid_graphs,0.0,0.0,0.0,4096.0,0.0,8192.0
orchid_images,747911.0,2457.0,0.0,380928.0,0.0,40960.0
orchid_satisfaction_feedbacks,0.0,0.0,0.0,0.0,0.0,0.0
orchid_settings,11219812.0,11315.0,-920.0,10424320.0,0.0,442368.0
outreach_actions,-135800399.0,141.0,-18357.0,73228288.0,0.0,-24576.0
outreach_blockages,4673385.0,20578.0,6.0,2662400.0,0.0,1417216.0
outreach_custom_playback_fields,372188.0,161.0,217.0,561152.0,0.0,8192.0
outreach_program_enrollment_tickets,-18888.0,-73.0,41.0,-53248.0,0.0,4096.0
outreach_programs,585704.0,32.0,136.0,-139264.0,0.0,-4096.0
page_visits,-6817.0,-21.0,1.0,-8192.0,0.0,-8192.0
pam_events,345127.0,606.0,0.0,4132864.0,0.0,-1982464.0
pathway_enrollments,9081.0,39.0,0.0,-4096.0,0.0,8192.0
pathway_stage_transitions,8994.0,40.0,0.0,8192.0,0.0,0.0
pathway_stages,12628.0,80.0,0.0,57344.0,0.0,0.0
pathways,-141.0,-1.0,0.0,0.0,0.0,0.0
patient_events,234607046.0,709909.0,0.0,115568640.0,0.0,157888512.0
patient_import_associations,961541.0,340.0,-5.0,393216.0,0.0,73728.0
patient_imports,514043974.0,213277.0,-360.0,304304128.0,0.0,13234176.0
patient_list_configs,0.0,0.0,0.0,0.0,0.0,0.0
patient_merged_events,3973450.0,27403.0,1.0,2269184.0,0.0,-577536.0
patient_message_issues,0.0,0.0,,0.0,0.0,49152.0
patient_tags,2347.0,8.0,0.0,0.0,0.0,8192.0
patients,14558501658.0,8749528.0,28.0,5280899072.0,0.0,2913193984.0
periscope_dashboard_product_filters,0.0,0.0,0.0,0.0,0.0,0.0
periscope_dashboards,1747285.0,1.0,16621.0,790528.0,0.0,0.0
phone_type_detections,348019424.0,4180771.0,0.0,182865920.0,0.0,53170176.0
provider_roles,224449.0,344.0,-5.0,217088.0,0.0,77824.0
pulse_email_templates,0.0,0.0,0.0,0.0,0.0,0.0
pulse_groups,0.0,0.0,0.0,0.0,0.0,0.0
pulse_interactions,0.0,0.0,0.0,12288.0,0.0,0.0
pulse_rounds,0.0,0.0,0.0,0.0,0.0,0.0
pulses,0.0,0.0,0.0,0.0,0.0,0.0
question_templates,0.0,0.0,0.0,0.0,0.0,0.0
quick_tasks,-1656.0,-3.0,4.0,57344.0,0.0,0.0
recurrences,184110.0,666.0,-1.0,1896448.0,0.0,32768.0
referrals,390650784.0,476209.0,37.0,126926848.0,0.0,21516288.0
related_settings,40176.0,18.0,45.0,36864.0,0.0,0.0
reminder_sms,31990242.0,111005.0,-7.0,9428992.0,0.0,2596864.0
report_package_events,133305460.0,66559.0,-1.0,41754624.0,0.0,3633152.0
report_package_settings,9778.0,0.0,9778.0,0.0,0.0,0.0
report_packages,17491908.0,1132.0,393.0,5660672.0,0.0,602112.0
rescheduled_missed_call_hours,0.0,0.0,,20480.0,0.0,61440.0
reverb_feedbacks,0.0,0.0,0.0,0.0,0.0,0.0
rounding_dashboards,2717.0,19.0,0.0,0.0,0.0,0.0
rounding_flags,81267.0,466.0,0.0,73728.0,0.0,-4096.0
rounding_interaction_attempts,3830316.0,3310.0,-65.0,-393216.0,0.0,565248.0
rounding_scripts,8159141.0,272.0,486.0,3432448.0,0.0,45056.0
rounding_widget_configurations,20356.0,95.0,0.0,4096.0,0.0,8192.0
rule_events,2287598.0,11973.0,0.0,-167936.0,0.0,1015808.0
rules,14576.0,34.0,-3.0,692224.0,0.0,0.0
script_plugins,0.0,0.0,0.0,0.0,0.0,-8192.0
service_now_plugin_mapping_associations,0.0,0.0,0.0,0.0,0.0,0.0
sessions,-4047581.0,-26682.0,103.0,-4464640.0,0.0,-2056192.0
simple_sms,22995405.0,36449.0,2.0,6832128.0,0.0,270336.0
sso_connections,2010.0,7.0,2.0,0.0,0.0,0.0
staff_comments,56770.0,142.0,-8.0,45056.0,0.0,24576.0
staff_interactions,980576576.0,141743.0,57.0,177635328.0,0.0,32829440.0
staff_issues,60618506.0,902.0,5095.0,13754368.0,0.0,73728.0
staff_member_criteria,11493.0,32.0,10.0,0.0,0.0,0.0
