Care Provider Name,Care Provider ID,Time Zone,Program Name,Outreach Program ID,Outreach Use Case,Category,Call Launch Date,Call Launch Hour,Scheduled Count,Launched Count
Franciscan Health System,5175a6c21b85b034fb000073,Pacific Time (US & Canada),SMMC Same Day Surgery,565dcc2941706f2a55920300,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),0,7,7
Good Samaritan Society,5bd21c4b74410f37d4fcfc76,Central Time (US & Canada),Good Samaritan Society Post-Discharge 30-Day PAM,5beb1bba74410f32722b24e1,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),0,1,1
Luther Manor,5a95b4dcd27cbe43dacbf1b0,Central Time (US & Canada),Luther Manor SNF Discharge,5ace6441ff16722416404a8b,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),0,3,3
Intermountain Healthcare,550b3ab85241494278ba0000,Mountain Time (US & Canada),Total Joint Discharge,591f0130d27cbe86e8f9b100,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),0,5,5
San Joaquin General Hospital,5d9668e2d27cbe7843d42d5c,Pacific Time (US & Canada),San Joaquin County Clinics - Initial Health Assessment,5db07831d27cbee72aaec198,call_on_date,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),0,1009,1000
Cedars-Sinai Medical Center,5acfa72aff16722d8f9117b0,Pacific Time (US & Canada),Marina Del Rey Inpatient Program,5d026446ff1672016a6ac3ae,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),0,10,10
Good Samaritan Society,5bd21c4b74410f37d4fcfc76,Central Time (US & Canada),Good Samaritan Society Post-Discharge Survey,5beb1988d27cbe2cadfede77,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),0,3,3
San Joaquin General Hospital,5d9668e2d27cbe7843d42d5c,Pacific Time (US & Canada),San Joaquin County Clinics - Cancer Screening,5db0785ad27cbee5daaf68a2,call_on_date,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),0,190,190
Charleston Area Medical Center,517801601b85b02a1e000003,Eastern Time (US & Canada),COVID-19 Negative Results,5f2ae549d27cbe7f20f5a444,post_admit,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),0,26,26
Franciscan Health System,5175a6c21b85b034fb000073,Pacific Time (US & Canada),CHI Franciscan Post Discharge,5f8e001074410f29184c5d79,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),0,72,72
Charleston Area Medical Center,517801601b85b02a1e000003,Eastern Time (US & Canada),COVID-19 Positive Results,5f2aefeeff167284b4f1e7db,post_admit,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),0,10,9
Franciscan Health System,5175a6c21b85b034fb000073,Pacific Time (US & Canada),FHS - Stroke Post Discharge,6062627aff16721a3596a6fa,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),0,5,5
UCSF Medical Center,520b9fed677aff2618000073,Pacific Time (US & Canada),Ad-Hoc Commercial ACO Longitudinal,6238e3a1d27cbe2e8e5a038a,call_on_date,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),0,1,1
Intermountain Healthcare,550b3ab85241494278ba0000,Mountain Time (US & Canada),Behavioral Health_2,626f92dfd27cbe883b72abbc,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),0,19,19
