Namespace,Collection Size (bytes),Document Count,Average Object Size (bytes),Storage Size,Number of Indexes,Total Index Size (bytes)
data_exchange_export_attempts,265712069,318631,833,100040704,6,22761472
key_metric_absolutes,354014558,1211787,292,104710144,6,100462592
sso_connections,19020,74,257,45056,1,36864
export_events,4901475215,22614075,216,1469071360,3,651014144
simple_sms,92190030,148273,621,28012544,1,3231744
care_form_config_forms,4029954,203,19851,1269760,3,118784
comments,1397118070,2533330,551,761270272,7,218202112
floorplan_floors,887078,73,12151,303104,2,32768
data_exchange_export_file_chunks,792152814,411987,1922,720056320,2,10780672
patient_tags,272564,866,314,131072,3,151552
field_values_caches,179359967,17693,10137,89063424,2,761856
pathways,6481,46,140,36864,1,36864
atlas_faq_topics,1969,6,328,16384,1,16384
issue_panels,19601480,4995,3924,9342976,4,409600
staff_members,1531153653,1762766,868,481091584,12,206782464
deleted_patient_events,76624835,572764,133,41242624,2,17375232
observation_results,5673987268,18517238,306,1891704832,5,809664512
periscope_dashboards,8437218,99,85224,3805184,1,36864
mobile_store_versions,273,1,273,32768,1,16384
facilities,1335703,4267,313,389120,2,204800
patient_events,7946599776,25198399,315,2401923072,5,1866002432
data_exchange_hl7_exports,128312142552,5571679,23029,117319004160,4,410087424
survey_interactions,3014872030,291083,10357,1013862400,14,76816384
form_field_settings,276754,652,424,94208,1,45056
issue_subpanels,51051126,39034,1307,28041216,4,1572864
user_profile_picture_images,50207,546,91,69632,1,45056
users,340563649,133505,2550,143179776,11,28856320
workflows,174345667,174226,1000,54489088,10,25042944
external_visits,7366,38,193,36864,2,73728
report_packages,90063279,7161,12576,31932416,8,2244608
orchid_satisfaction_feedbacks,1783104,12048,148,815104,1,262144
data_exchange_hl7_imports,227374124202,99508088,2284,142114844672,10,13704704000
survey_devices,63754119,92587,688,23937024,9,22568960
system_admin_diffs,6928,119,58,36864,1,36864
rounding_scripts,112117370,5914,18957,42590208,3,348160
messages,1258429,4744,265,761856,1,135168
view_blueprint_tasks,3545361,5317,666,1257472,3,290816
key_metric_integrations,65207,28,2328,65536,1,36864
view_tasks,1552811725,1425595,1089,424472576,8,97734656
view_template_tasks,1351276,2442,553,483328,1,45056
orchid_badge_images,520038,6387,81,245760,1,131072
patients,109967245851,79585321,1381,42698776576,16,15148486656
units,52714643,142142,370,15806464,9,16773120
enroll_attempts,2885420,10803,267,937984,3,798720
orchid_badges,3355984,15040,223,983040,2,360448
link_blueprints,87519,79,1107,77824,2,32768
key_metric_enrollers,25643,56,457,45056,1,36864
rescheduled_missed_call_hours,0,0,,4096,3,12288
webform_notifications,137483611,324528,423,40706048,2,15847424
fs.files,1026288294,3723872,275,454000640,5,486666240
link_alerts,1581336,5783,273,929792,1,348160
atlas_enrollments,1041,4,260,16384,2,32768
outreach_actions,331624785,7592,43680,95301632,5,692224
deleted_encounter_events,1026001469,6002464,170,442322944,2,179257344
staff_issues,56683873,9992,5672,21278720,10,1622016
rounding_interaction_attempts,13089829,9310,1405,8753152,4,1716224
pulse_groups,172,1,172,16384,1,16384
related_settings,341917,665,514,102400,2,106496
conditional_formats,1030094,4021,256,356352,2,196608
enrollment_enrollers,5287,12,440,36864,1,36864
key_metric_sources,37327,105,355,36864,3,49152
location_tags,1376,12,114,36864,2,73728
deleted_interaction_events,1286826445,6957507,184,380215296,3,342433792
grievances,0,0,,4096,3,12288
reminder_sms,129182297,402444,320,38121472,2,9900032
outreach_program_enrollment_tickets,20706,79,262,94208,6,241664
staff_rewards,2343,6,390,32768,3,98304
import_rules,2472,8,309,32768,1,32768
location_groups,840681,6315,133,368640,4,708608
data_views,21379315,19647,1088,7000064,2,856064
care_grams,589295860,550346,1070,259031040,7,41656320
patient_import_associations,102410494,31126,3290,25137152,2,1859584
floorplans_configuration_settings,10319,13,793,16384,1,16384
care_provider_logo_images,1638,16,102,36864,1,36864
deleted_document_events,18786213050,57784174,325,5165195264,2,1191628800
high_reach_notifications,2241977897,7075470,316,664997888,1,132648960
email_events,1861381045,7145271,260,792576000,4,269635584
custom_converters,2499284,278,8990,770048,1,45056
encounter_criteria,297546,458,649,159744,1,45056
chat_messages,3676123,8833,416,1519616,2,327680
fs.chunks,384779219796,3730335,103148,308192681984,2,115830784
locations,10010260,13977,716,4468736,5,753664
task_tags,370746,3107,119,282624,2,278528
deleted_issue_events,1172464,7458,157,454656,2,290816
view_templates,83144,145,573,77824,1,16384
orchid_settings,1514221650,125185,12095,759042048,2,4513792
care_form_forms,6890098433,301556,22848,4921872384,8,79392768
rounding_dashboards,93206,652,142,65536,3,159744
enrollment_events,23955890408,21384334,1120,7463632896,7,2874658816
care_gap_measurements,20357388,44400,458,6033408,12,5992448
echo_audio_instructions,4541,18,252,16384,1,16384
latent_recurrences,80531,398,202,57344,1,40960
data_exchange_outbound_messages_settings_outbound_message_settings,27857,73,381,53248,2,73728
data_exchange_file_import_chunks,167706024118,5032689,33323,58665635840,3,167124992
issues,102481751518,7405523,13838,52649504768,19,1240801280
care_gram_email_templates,41326,114,362,57344,3,110592
care_providers,3416714,652,5240,2408448,4,172032
data_exchange_readmission_import_chunks,99781569,799,124883,83066880,2,90112
diagnoses,49279604,208131,236,16609280,3,8392704
export_jobs,327108,505,647,233472,2,90112
pulse_email_templates,2374,5,474,36864,1,36864
pulse_rounds,146641,15,9776,102400,1,36864
audio_clips,614,3,204,32768,5,163840
my_patient_panel_exports,4535,29,156,36864,1,36864
patient_list_configs,8048,11,731,16384,2,32768
orchid_images,4570195,14909,306,1957888,1,344064
referrals,505903558,693660,729,160391168,5,36327424
orchid_graphs,115326,679,169,73728,2,90112
login_page_contents,150,1,150,32768,1,16384
key_metric_enroll_attempts,122297769,421193,290,35893248,4,20369408
pulses,7113,15,474,36864,1,36864
login_page_images,111,1,111,36864,1,16384
care_grams_email_images,5739,56,102,16384,1,16384
view_blueprints,291254,577,504,462848,3,139264
service_now_plugin_mapping_associations,64524,354,182,57344,1,45056
staff_interactions,6405779723,990857,6464,2167599104,15,214654976
view_user_notifications,50918401,201173,253,19795968,2,6639616
staff_member_criteria,14815,44,336,45056,1,36864
integration_patient_tokens,0,0,,4096,2,8192
care_gram_emails,36887185,280711,131,15007744,2,15941632
echo_encounters,38662,105,368,45056,2,32768
attachments,43247281,134524,321,12857344,4,5165056
data_exchange_hl7_mapping_associations,181820,156,1165,98304,2,73728
kiosk_emails,23761834,29935,793,6922240,1,544768
report_package_events,1399545395,691478,2023,446603264,9,66551808
care_form_config_assets,6788,55,123,16384,2,32768
rounding_flags,1870611,10927,171,602112,4,655360
atlas_interaction_attempts,4512,12,376,16384,2,32768
badge_earnings,323365945,1015536,318,103411712,6,79441920
mongoid_semaphores,1322,9,146,36864,1,36864
deleted_report_package_events,2098383,8297,252,933888,2,262144
rule_events,93331030,488937,190,44572672,2,20963328
call_hour_infos,2587349391,1962146,1318,1655865344,4,58486784
orchid_configuration_settings,1262366,612,2062,266240,1,45056
ahoy_events,2962682533,10617231,279,1242611712,11,977981440
atlas_patient_notifications,123206,630,195,73728,2,98304
atlas_service_request_configurations,2394,8,299,16384,1,16384
atlas_users,2593,4,648,16384,4,65536
location_issues,21082043,4558,4625,7598080,12,1064960
pathway_stages,383039,2433,157,155648,1,77824
community_resources,3957764,14345,275,1273856,1,143360
enrollment_reports,88029576,560826,156,41332736,2,20172800
patient_merged_events,34053314,252389,134,15826944,2,8372224
workflow_status_change_reasons,43478,297,146,53248,2,73728
medications,108106576,387523,278,32227328,4,14749696
survey_reputation_emails,15300,22,695,36864,1,36864
outreach_blockages,12474186,60589,205,5869568,3,4788224
sessions,9224610,42994,214,8515584,1,4018176
patient_message_issues,0,0,,4096,10,40960
recurrences,26279899,77934,337,8785920,1,1425408
staff_recognitions,131996692,372896,353,62210048,2,9760768
departments,54253678,144206,376,24465408,5,9314304
patient_imports,52470261242,4817041,10892,24206274560,4,305041408
report_package_settings,101,1,101,36864,1,16384
hl7_settings,290653,652,445,184320,2,114688
triggered_issue_alerts,45297302,199730,226,41070592,4,19021824
reverb_feedbacks,686,4,171,36864,2,73728
history_trackers,81940823989,208637599,392,32061038592,5,9928392704
link_plans,370106,166,2229,110592,1,16384
medication_orders,753606,2763,272,233472,2,98304
issue_alerts,9254719,6111,1514,4587520,2,475136
link_templates,35645,28,1273,53248,1,16384
claims,984,6,164,16384,3,49152
enrollments,532985482,1949292,273,157024256,6,107884544
answer_images,186289,858,217,94208,1,61440
encounters,589173036843,394369903,1493,194873159680,17,41789612032
attachment_images,1969,19,103,36864,1,36864
care_management_enrollments,32234875,111737,288,10235904,3,4739072
survey_promotions,746,3,248,36864,1,36864
note_templates,19931,41,486,20480,1,16384
page_visits,15953,49,325,53248,2,81920
care_gap_measures,1694,6,282,36864,1,36864
interaction_attempts,37793993,26857,1407,21241856,5,4145152
periscope_dashboard_product_filters,883,1,883,16384,1,16384
call_centers,377364,1518,248,241664,4,266240
care_referrals,3348179,7854,426,1015808,3,442368
call_attempts,7204188979,3187474,2260,5167816704,19,1496244224
manual_enroll_attempts,0,0,,4096,3,12288
pulse_interactions,1074567,187,5746,339968,13,212992
rounding_widget_configurations,698142,3260,214,241664,3,200704
encounter_merged_events,32910793,242169,135,12324864,2,5931008
outreach_custom_playback_fields,657984,438,1502,339968,2,81920
blacklisted_phones,569711,4954,115,217088,2,229376
archived_call_attempts,371090642891,128247299,2893,131822112768,16,21607518208
kiosk_phone_configs,120,1,120,16384,1,16384
unit_visits,163644645878,485294207,337,51307483136,5,27007774720
survey_locations,119754,587,204,77824,3,135168
location_interactions,3979913295,356880,11151,1034825728,15,97124352
pathway_enrollments,257044,1100,233,163840,1,61440
help_materials,47242,174,271,57344,1,36864
user_event_bases,9514446339,28310202,336,3607560192,5,1886736384
users_activity_settings,1416,4,354,16384,1,16384
observations,904127625,3786145,238,280121344,7,198709248
pathway_stage_transitions,273135,1217,224,135168,1,69632
task_dependencies,1744452,12372,141,729088,1,274432
script_plugins,19296,52,371,45056,2,73728
pam_events,614717233,849870,723,136732672,2,21741568
goals,4177658,14372,290,1810432,3,892928
cached_answer_recordings,2398351,4506,532,831488,1,126976
rules,1153715,1883,612,958464,1,77824
criteria_choices,2271691554,120001,18930,908496896,2,4272128
staff_comments,139960,330,424,131072,6,245760
quick_tasks,330443,328,1007,167936,2,81920
enrollment_enroll_attempts,1742151,11541,150,716800,1,233472
question_templates,691,2,345,32768,3,98304
survey_issues,151812142,27228,5575,44675072,12,3555328
provider_roles,10272233,12442,825,3842048,3,679936
outreach_programs,12032031,3466,3471,7184384,4,348160
staff_member_profile_picture_images,80816,843,95,77824,1,45056
visit_types,2399878,12593,190,786432,3,479232
visits,3313644452,8713580,380,1078661120,1,175661056
data_exchange_file_pre_process_attempts,2229,10,222,16384,2,32768
care_teams,192654229,964449,199,58789888,5,65425408
data_exchange_readmission_imports,75468,178,423,73728,2,73728
data_exchange_patient_identifier_conversions,3268644,1,3268644,839680,1,16384
echo_settings,8861,19,466,36864,1,36864
migration_infos,18109020,509,35577,13910016,5,262144
phone_type_detections,827319684,9930645,83,386547712,1,151805952
tracks,9684887912,21281819,455,3586473984,7,1934266368
interactions,594744910302,79371390,7493,238729338880,22,19831615488
survey_settings,18354,20,917,45056,2,73728
location_comments,80923,259,312,81920,6,229376
chat_rooms,5790385,37015,156,1904640,2,1536000
atlas_device_tokens,984,4,246,16384,2,32768
encounter_events,58839826646,444838925,132,21011718144,2,11572035584
atlas_faqs,18437,32,576,24576,1,16384
staff_member_show_in_orchid_events,265153121,1756355,150,83894272,2,45752320
visit_providers,14310051,65503,218,4947968,3,3215360
