ID,NAME,CREATED,CREATED (MS),UPDATED,UPDATED (MS),TAGS,Patient Count,Encounter Count,Interaction Count,Enrollment Count,Call Attempts Count,Archived Call Attempts Count,Patient Issues,Patient Events,Unit Visits
550b3ab85241494278ba0000,Intermountain Healthcare,Thu Mar 19 2015 17:08:08 GMT-0400 (Eastern Daylight Time),1426800000000,Mon Apr 26 2021 17:34:40 GMT-0400 (Eastern Daylight Time),1619470000000,"hl7,orchid,voice",2577357,11749621,3405152,0,2751,7844651,171107,828447,15394392
517584b01b85b061b300003d,Hill Country Memorial,Mon Apr 22 2013 14:42:56 GMT-0400 (Eastern Daylight Time),1366660000000,Tue Dec 15 2020 09:52:29 GMT-0500 (Eastern Standard Time),1608040000000,"sftp,voice",56314,129857,113475,0,18,210673,13694,0,139027
517569541b85b034fb000003,Middlesex Hospital,Mon Apr 22 2013 12:46:12 GMT-0400 (Eastern Daylight Time),1366650000000,Tue Apr 27 2021 15:21:44 GMT-0400 (Eastern Daylight Time),1619550000000,"hl7,orchid,sftp,voice",148989,1339952,130898,3,96,255618,22555,11279,1470853
56f00372acc0db20db00025b,Akron Children's Hospital,Mon Mar 21 2016 10:21:38 GMT-0400 (Eastern Daylight Time),1458570000000,Fri Mar 19 2021 14:42:09 GMT-0400 (Eastern Daylight Time),1616180000000,"hl7,orchid,sso",202385,579366,19180,0,0,0,616,677,676140
57b70286acc0db7118dac820,Grays Harbor Community Hospital,Fri Aug 19 2016 08:58:46 GMT-0400 (Eastern Daylight Time),1471610000000,Wed Jan 27 2021 14:45:56 GMT-0500 (Eastern Standard Time),1611780000000,"echo,hl7,voice",58847,513324,12082,0,19,28969,1638,2043,576745
59807063d27cbe6df65f2c22,Carilion Clinic,Tue Aug 01 2017 08:13:23 GMT-0400 (Eastern Daylight Time),1501590000000,Fri Apr 23 2021 10:08:41 GMT-0400 (Eastern Daylight Time),1619190000000,"hl7,orchid,sso",292761,801921,220925,1,0,0,2200,5561,1510069
59c4025fd27cbebc83ebcf22,Chattanooga Endoscopy Center,Thu Sep 21 2017 14:18:07 GMT-0400 (Eastern Daylight Time),1506020000000,Mon Jan 04 2021 11:40:21 GMT-0500 (Eastern Standard Time),1609780000000,"asc,sftp,voice",20775,23098,22465,0,35,38861,911,4740,23098
56253f1361706f73e36c0700,Interfaith Medical Center,Mon Oct 19 2015 15:05:55 GMT-0400 (Eastern Daylight Time),1445280000000,Mon Mar 15 2021 23:39:10 GMT-0400 (Eastern Daylight Time),1615870000000,orchid,68083,152570,24182,0,0,0,1633,0,251113
56549db752414960e31e0200,Carle Foundation,Tue Nov 24 2015 12:26:15 GMT-0500 (Eastern Standard Time),1448390000000,Tue Jan 26 2021 22:01:19 GMT-0500 (Eastern Standard Time),1611720000000,"hl7,orchid",266320,1862543,191676,0,0,0,918,3986,2204577
5175a6c21b85b034fb000073,Franciscan Health System,Mon Apr 22 2013 17:08:18 GMT-0400 (Eastern Daylight Time),1366660000000,Wed Apr 28 2021 11:39:14 GMT-0400 (Eastern Daylight Time),1619620000000,"hl7,orchid,voice",1078476,8654048,1107199,2,695,1892737,65276,56595,9753462
55365e525241497d90580100,Baylor Scott & White Health,Tue Apr 21 2015 10:27:30 GMT-0400 (Eastern Daylight Time),1429630000000,Tue Mar 30 2021 18:32:15 GMT-0400 (Eastern Daylight Time),1617140000000,voice,924370,1957692,713645,1,3253,2315411,78353,78199,2043702
554008ab52414951751c0000,Mercy Health System,Tue Apr 28 2015 18:24:43 GMT-0400 (Eastern Daylight Time),1430260000000,Fri Apr 09 2021 01:54:52 GMT-0400 (Eastern Daylight Time),1617950000000,"hl7,orchid",403771,5311006,272638,0,0,0,977,2407,5558382
558bfd3b5241490e05410800,Kaleida Health,Thu Jun 25 2015 09:08:11 GMT-0400 (Eastern Daylight Time),1435240000000,Tue Jan 26 2021 22:01:19 GMT-0500 (Eastern Standard Time),1611720000000,"echo,hl7,orchid,sso,view,voice",387369,951784,90728,1,11,13004,8752,2444,1263550
51ae764dacc0dbd4a700000d,SCL - Lutheran Medical Center,Tue Jun 04 2013 19:20:45 GMT-0400 (Eastern Daylight Time),1370390000000,Tue Jan 26 2021 22:00:59 GMT-0500 (Eastern Standard Time),1611720000000,"echo,hl7,orchid,voice",221067,635287,402885,2,7,854061,26654,0,976962
52fe61815241497341ee0000,Decatur Morgan Hospital,Fri Feb 14 2014 13:33:37 GMT-0500 (Eastern Standard Time),1392400000000,Tue Jan 26 2021 22:00:59 GMT-0500 (Eastern Standard Time),1611720000000,"sftp,voice",156322,879883,197953,0,60,580660,18642,4210,910913
559d65e55241490d74ca0100,Mercy Health,Wed Jul 08 2015 14:03:17 GMT-0400 (Eastern Daylight Time),1436380000000,Tue Jan 26 2021 22:01:14 GMT-0500 (Eastern Standard Time),1611720000000,"implementation,sftp,voice",204910,537332,456731,0,747,1318883,39866,144143,538509
