ID,NAME,Patients Size,Encounters Size,Interactions Size,Enrollments Size,Call Attempts Size,Archived Call Attempts Size,Patient Issues Size,Patient Events Size,Unit Visits Size
550b3ab85241494278ba0000,Intermountain Healthcare,3502628163,17307191733,23689642464,0,6123726,18882074957,2310286714,258475464,5187910104
517584b01b85b061b300003d,Hill Country Memorial,76530726,191279361,789445575,0,40068,507089911,184896388,0,46852099
517569541b85b034fb000003,Middlesex Hospital,202476051,1973749296,910657386,885,213696,615272526,304537610,3519048,495677461
56f00372acc0db20db00025b,Akron Children's Hospital,275041215,853406118,133435260,0,0,0,8317232,211224,227859180
57b70286acc0db7118dac820,Grays Harbor Community Hospital,79973073,756126252,84054474,0,42294,69728383,22116276,637416,194363065
59807063d27cbe6df65f2c22,Carilion Clinic,397862199,1181229633,1536975225,295,0,0,29704400,1735032,508893253
59c4025fd27cbebc83ebcf22,Chattanooga Endoscopy Center,28233225,34023354,156289005,0,77910,93538427,12300322,1478880,7784026
56253f1361706f73e36c0700,Interfaith Medical Center,92524797,224735610,168234174,0,0,0,22048766,0,84625081
56549db752414960e31e0200,Carle Foundation,361928880,2743525839,1333489932,0,0,0,12394836,1243632,742942449
5175a6c21b85b034fb000073,Franciscan Health System,1465648884,12747412704,7702783443,590,1547070,4555817959,881356552,17657640,3286916694
55365e525241497d90580100,Baylor Scott & White Health,1256218830,2883680316,4964828265,295,7241178,5573194277,1057922206,24398088,688727574
554008ab52414951751c0000,Mercy Health System,548724789,7823111838,1896742566,0,0,0,13191454,750984,1873174734
558bfd3b5241490e05410800,Kaleida Health,526434471,1401977832,631194696,295,24486,31300628,118169504,762528,425816350
51ae764dacc0dbd4a700000d,SCL - Lutheran Medical Center,300430053,935777751,2802870945,590,15582,2055724827,359882308,0,329236194
52fe61815241497341ee0000,Decatur Morgan Hospital,212441598,1296067659,1377159021,0,133560,1397648620,251704284,1313520,306977681
559d65e55241490d74ca0100,Mercy Health,278472690,791490036,3177477567,0,1662822,3174551381,538270732,44972616,181477533
5aa81efd74410fa8504e9aea,Geisinger Health System,984802068,24832102086,4208407569,0,0,0,105086066,3444168,5874107819
5b71f329ff16722f5cb4edb2,Sutter Independent Physicians,6795,7365,0,0,0,0,0,0,1348
58bec27a9c055208405da427,Inova Health System,814489470,3540113928,7221846033,0,1095192,1156914922,306886958,42874728,1152399471
591b3c8dd27cbe3b8712b576,Peninsula Regional Medical Center,216350082,2855990862,510511617,13865,0,0,2281838,487344,720376592
59555bcdd27cbeae95530829,Johns Hopkins Health System,731265669,8323731510,18048760767,0,363873090,7098264663,18740776,714945816,2515511562
59bc2849ff167259af2f1c8c,Staten Island PPS,118618956,214377474,749366298,0,17358348,3754005340,32904374,0,49119098
5adfa033ff167296f95e72e7,Medical West,126738981,718161150,181327248,0,0,0,85872720,306072,201117893
5b4f50dcff16722008feef6e,Westchester Medical Center,109274472,161001846,621663606,0,373968,654718442,0,9253920,36891390
52f023595241494e0a6c0000,Beaumont Health System,383254308,726001929,460003797,0,57876,456376828,171731938,1395888,185265750
527191f2677affa59a00000b,Bethesda Health,78711921,119556045,505022544,0,102396,458868073,136518722,796848,27369455
51acb77a677affadae000115,SCL - St. James Healthcare,14072445,24332487,111298086,0,4452,113191582,27760112,0,5566903
5522cb8d5241496bfe2e0400,Kingsbrook Jewish Medical Center,116308656,357345381,9273681,0,4452,9570232,54008,0,90913838
574f072dacc0db06c8000046,Providigm,0,0,0,0,0,0,0,0,0
57ebef63acc0db66042c1d82,Manatee Memorial Hospital,13590,14730,76527,0,0,0,202530,0,5392
585189588e82a84f693d4c24,ASCENT,442855971,3471186366,135167553,885,4745832,101678901,130658854,1230840,1312910886
591db38dd27cbe8dc3f577b5,Saint Francis Hospital and Medical Center,131873283,337502598,2349629352,0,970536,3841605698,451115322,12558936,77331390
59516787d27cbede1924d757,Community Health Network,811992987,11595049452,20566478196,0,519844458,6225493684,322090210,666076632,2409386218
