ID,NAME,CREATED,CREATED (MS),UPDATED,UPDATED (MS),TAGS,Patient Count,Encounter Count,Interaction Count,Enrollment Count,Call Attempts Count,Archived Call Attempts Count,Patient Issues,Patient Events,Unit Visits
591b3c8dd27cbe3b8712b576,Peninsula Regional Medical Center,Tue May 16 2017 13:53:17 GMT-0400 (Eastern Daylight Time),1.49496E+12,Tue Jan 26 2021 22:01:19 GMT-0500 (Eastern Standard Time),1.61172E+12,"hl7,orchid",87548,1408412,73270,47,0,0,169,7,1633437
59555bcdd27cbeae95530829,Johns Hopkins Health System,Thu Jun 29 2017 15:58:05 GMT-0400 (Eastern Daylight Time),1.49877E+12,Wed Apr 28 2021 09:22:38 GMT-0400 (Eastern Daylight Time),1.61962E+12,"hl7,orchid,sso",211598,1302283,105520,0,0,0,1030,15,1518902
59bc2849ff167259af2f1c8c,Staten Island PPS,Fri Sep 15 2017 15:21:46 GMT-0400 (Eastern Daylight Time),1.5055E+12,Tue Jan 26 2021 22:00:59 GMT-0500 (Eastern Standard Time),1.61172E+12,"dsrip,pam,voice",87284,145538,85109,0,7798,1559620,2437,0,145754
5adfa033ff167296f95e72e7,Medical West,Tue Apr 24 2018 17:22:59 GMT-0400 (Eastern Daylight Time),1.5246E+12,Tue Jan 26 2021 22:02:06 GMT-0500 (Eastern Standard Time),1.61172E+12,"hl7,orchid",57393,344666,25910,0,0,0,6360,3,432356
5b4f50dcff16722008feef6e,Westchester Medical Center,Wed Jul 18 2018 10:38:20 GMT-0400 (Eastern Daylight Time),1.53192E+12,Thu Dec 17 2020 20:19:25 GMT-0500 (Eastern Standard Time),1.60825E+12,"implementation,sftp,voice",53726,59950,60749,0,145,188646,0,119,74824
52f023595241494e0a6c0000,Beaumont Health System,Mon Feb 03 2014 18:16:41 GMT-0500 (Eastern Standard Time),1.39147E+12,Fri Feb 19 2021 11:36:07 GMT-0500 (Eastern Standard Time),1.61375E+12,"sftp,voice",224180,416123,58480,0,13,182076,11957,47,456548
527191f2677affa59a00000b,Bethesda Health,Wed Oct 30 2013 19:10:42 GMT-0400 (Eastern Daylight Time),1.38317E+12,Tue Dec 15 2020 09:52:37 GMT-0500 (Eastern Standard Time),1.60804E+12,"sftp,voice",55643,78755,62154,0,43,185111,9686,28,78805
51acb77a677affadae000115,SCL - St. James Healthcare,Mon Jun 03 2013 11:34:18 GMT-0400 (Eastern Daylight Time),1.37027E+12,Tue Dec 15 2020 09:57:56 GMT-0500 (Eastern Standard Time),1.60804E+12,voice,10355,16519,14815,0,2,47026,2056,0,16519
5522cb8d5241496bfe2e0400,Kingsbrook Jewish Medical Center,Mon Apr 06 2015 14:08:13 GMT-0400 (Eastern Daylight Time),1.42834E+12,Mon Mar 08 2021 15:26:03 GMT-0500 (Eastern Standard Time),1.61524E+12,echo,75869,223312,1333,0,2,3976,4,0,247203
574f072dacc0db06c8000046,Providigm,Wed Jun 01 2016 12:02:53 GMT-0400 (Eastern Daylight Time),1.4648E+12,Tue Dec 15 2020 09:59:00 GMT-0500 (Eastern Standard Time),1.60804E+12,implementation,0,0,0,0,0,0,0,0,0
57ebef63acc0db66042c1d82,Manatee Memorial Hospital,Wed Sep 28 2016 12:27:15 GMT-0400 (Eastern Daylight Time),1.47508E+12,Tue Dec 15 2020 09:59:41 GMT-0500 (Eastern Standard Time),1.60804E+12,"hl7,implementation,orchid",10,10,11,0,0,0,15,0,16
585189588e82a84f693d4c24,ASCENT,Wed Dec 14 2016 13:03:04 GMT-0500 (Eastern Standard Time),1.48174E+12,Tue Apr 27 2021 11:53:12 GMT-0400 (Eastern Daylight Time),1.61954E+12,"hl7,view",324260,2354837,15267,3,2130,36608,9677,0,3895877
