ID,NAME,CREATED,CREATED (MS),UPDATED,UPDATED (MS),TAGS,Patient Count,Encounter Count,Interaction Count,Enrollment Count,Call Attempts Count,Archived Call Attempts Count,Patient Issues,Patient Events,Unit Visits
516e91ab26a97a325d000001,Bronx Lebanon Hospital Center,Wed Apr 17 2013 08:12:27 GMT-0400 (Eastern Daylight Time),1.3662E+12,Tue Jan 26 2021 22:02:40 GMT-0500 (Eastern Standard Time),1.61172E+12,"hl7,orchid,voice",338186,4020934,1023728,0,518,4138028,65002,0,4418060
57a48b46677aff47c8c8c34e,Cedar Community,Fri Aug 05 2016 08:49:10 GMT-0400 (Eastern Daylight Time),1.4704E+12,Fri Dec 18 2020 09:58:24 GMT-0500 (Eastern Standard Time),1.6083E+12,"snf,voice",1514,2281,9046,0,42,22569,1181,0,2313
583f7a62da771056d68c122a,Well Care Home Health,Wed Nov 30 2016 20:18:26 GMT-0500 (Eastern Standard Time),1.48056E+12,Fri Apr 02 2021 15:28:51 GMT-0400 (Eastern Daylight Time),1.61739E+12,"hha,orchid,sftp,voice",44237,58029,188023,0,198,318964,22759,0,61280
58f5155874410f7afcd151ea,Selin CP Name,Mon Apr 17 2017 15:19:52 GMT-0400 (Eastern Daylight Time),1.49246E+12,Tue Apr 27 2021 16:17:46 GMT-0400 (Eastern Daylight Time),1.61955E+12,,18,20,17,3,1,50,10,0,22
59c091e3d27cbe326af69d68,CHI Health,Mon Sep 18 2017 23:41:23 GMT-0400 (Eastern Daylight Time),1.50579E+12,Thu Apr 15 2021 10:29:26 GMT-0400 (Eastern Daylight Time),1.6185E+12,"hl7,orchid,sso,voice",401409,5726047,601329,0,77,129849,14321,0,6218343
5a944e9fd27cbe7a4c7adc33,Schneck Medical Center,Mon Feb 26 2018 13:14:55 GMT-0500 (Eastern Standard Time),1.51967E+12,Tue Jan 26 2021 22:01:24 GMT-0500 (Eastern Standard Time),1.61172E+12,"appointment reminders,hl7,voice",29881,399408,226459,0,7458,327082,79630,0,103517
551424215241491cd50b0000,Baptist Health,Thu Mar 26 2015 11:22:09 GMT-0400 (Eastern Daylight Time),1.42738E+12,Thu Dec 17 2020 09:31:43 GMT-0500 (Eastern Standard Time),1.60822E+12,voice,102845,174753,62817,0,74,200149,8783,0,175085
55aef3d15241493cb2d40100,Wichita Falls GI Associates,Tue Jul 21 2015 21:37:21 GMT-0400 (Eastern Daylight Time),1.43753E+12,Wed Mar 17 2021 15:18:44 GMT-0400 (Eastern Daylight Time),1.61601E+12,"appointment reminders,kiosk,orchid,voice",28999,159372,142443,0,937,363852,69972,0,208174
559d9b1452414928ff9d0000,University of Pennsylvania Health System,Wed Jul 08 2015 17:50:12 GMT-0400 (Eastern Daylight Time),1.43639E+12,Fri Apr 30 2021 17:00:29 GMT-0400 (Eastern Daylight Time),1.61982E+12,voice,55050,434241,378700,0,16703,867273,23856,0,609398
562529d15241495c5e530000,Flagler Hospital,Mon Oct 19 2015 13:35:13 GMT-0400 (Eastern Daylight Time),1.44528E+12,Thu Feb 11 2021 12:12:22 GMT-0500 (Eastern Standard Time),1.61306E+12,"orchid,voice",43280,81331,85342,0,12,47501,9063,0,184431
