ID,NAME,CREATED,CREATED (MS),UPDATED,UPDATED (MS),TAGS
58dc22189c05524a52b01691,Carson Tahoe,Wed Mar 29 2017 17:07:36 GMT-0400 (Eastern Daylight Time),1.49082E+12,Thu Apr 01 2021 14:53:30 GMT-0400 (Eastern Daylight Time),1.6173E+12,"hl7,kiosk,orchid,sftp,voice"
5978d9d4d27cbea259272282,Seattle Childrens Hospital,Wed Jul 26 2017 14:05:08 GMT-0400 (Eastern Daylight Time),1.50109E+12,Fri Mar 19 2021 17:50:57 GMT-0400 (Eastern Daylight Time),1.61619E+12,"implementation,sftp,voice"
5a0f22d4ff16725c1630d97c,Priority Partners,Fri Nov 17 2017 12:56:36 GMT-0500 (Eastern Standard Time),1.51094E+12,Tue Apr 27 2021 13:46:09 GMT-0400 (Eastern Daylight Time),1.61955E+12,"mco,payor,preventive,voice"
5628fda05241492dafde0600,Maryland Community Health System,Thu Oct 22 2015 11:15:44 GMT-0400 (Eastern Daylight Time),1.44553E+12,Mon Dec 21 2020 15:22:20 GMT-0500 (Eastern Standard Time),1.60858E+12,"fqhc,sftp,voice"
53d915aa61706f4842020000,United Regional Hospital,Wed Jul 30 2014 11:56:26 GMT-0400 (Eastern Daylight Time),1.40674E+12,Fri Apr 30 2021 20:24:19 GMT-0400 (Eastern Daylight Time),1.61983E+12,"orchid,voice"
520b9fed677aff2618000073,UCSF Medical Center,Wed Aug 14 2013 11:19:09 GMT-0400 (Eastern Daylight Time),1.37649E+12,Thu Apr 29 2021 18:04:21 GMT-0400 (Eastern Daylight Time),1.61973E+12,"kiosk,orchid,preventive,sso,view,voice"
55940e9c5241495e497c0100,Oneida Health Care,Wed Jul 01 2015 12:00:28 GMT-0400 (Eastern Daylight Time),1.43577E+12,Fri Mar 12 2021 11:07:53 GMT-0500 (Eastern Standard Time),1.61557E+12,"justin!,orchid,voice"
572711b64004120d850001bc,NYC Health and Hospitals Corporation,Mon May 02 2016 04:37:10 GMT-0400 (Eastern Daylight Time),1.46218E+12,Fri Apr 30 2021 14:35:03 GMT-0400 (Eastern Daylight Time),1.61981E+12,"dsrip,pam,voice"
5730ee00acc0db0fee00012f,Northwell Health,Mon May 09 2016 16:07:28 GMT-0400 (Eastern Daylight Time),1.46282E+12,Fri Apr 30 2021 09:56:56 GMT-0400 (Eastern Daylight Time),1.61979E+12,"hl7,orchid,sso"
58f6cd49d27cbe42a2fed86f,University of Cincinnati Medical Center,Tue Apr 18 2017 22:36:57 GMT-0400 (Eastern Daylight Time),1.49257E+12,Wed Apr 21 2021 14:13:47 GMT-0400 (Eastern Daylight Time),1.61903E+12,"hl7,orchid,sso"
5af48014ff167217fbe09c60,Reid Health,Thu May 10 2018 13:23:32 GMT-0400 (Eastern Daylight Time),1.52597E+12,Wed Mar 17 2021 15:19:57 GMT-0400 (Eastern Daylight Time),1.61601E+12,"hl7,orchid"
54614dcd5241497e8e370000,HAHV,Mon Nov 10 2014 18:44:13 GMT-0500 (Eastern Standard Time),1.41566E+12,Mon Mar 15 2021 11:18:09 GMT-0400 (Eastern Daylight Time),1.61582E+12,"orchid,voice"
51c7d099677affcc74000712,SCL - St. Mary's Medical Center,Mon Jun 24 2013 00:52:41 GMT-0400 (Eastern Daylight Time),1.37205E+12,Tue Dec 15 2020 09:57:56 GMT-0500 (Eastern Standard Time),1.60804E+12,voice
58c84e1074410f666aef1f74,Eyra Care Provider,Tue Mar 14 2017 16:09:52 GMT-0400 (Eastern Daylight Time),1.48952E+12,Tue Dec 15 2020 10:00:46 GMT-0500 (Eastern Standard Time),1.60804E+12,
5ae74f5fd27cbe53d0832236,Cambridge Health Alliance,Mon Apr 30 2018 13:16:15 GMT-0400 (Eastern Daylight Time),1.52511E+12,Tue Jan 26 2021 22:01:01 GMT-0500 (Eastern Standard Time),1.61172E+12,"appointment reminders,implementation,preventive,sftp,voice"
5b61c887ff16723570077169,Texas Children's Hospital,Wed Aug 01 2018 10:49:43 GMT-0400 (Eastern Daylight Time),1.53313E+12,Wed Apr 14 2021 12:04:36 GMT-0400 (Eastern Daylight Time),1.61842E+12,"hl7,implementation,orchid"
556f4e7f52414947ffb50000,Alecto Healthcare,Wed Jun 03 2015 14:59:11 GMT-0400 (Eastern Daylight Time),1.43336E+12,Tue Jan 26 2021 22:01:20 GMT-0500 (Eastern Standard Time),1.61172E+12,"hl7,orchid,sftp,voice"
5175aa971b85b034fb00007c,St. Joseph's Hospital and Health Center,Mon Apr 22 2013 17:24:39 GMT-0400 (Eastern Daylight Time),1.36667E+12,Thu Dec 17 2020 08:01:22 GMT-0500 (Eastern Standard Time),1.60821E+12,voice
53dfa9af5241492480080000,UCSD Medical Center,Mon Aug 04 2014 11:41:35 GMT-0400 (Eastern Daylight Time),1.40717E+12,Tue Apr 20 2021 13:02:41 GMT-0400 (Eastern Daylight Time),1.61894E+12,"preventive,voice"
517801601b85b02a1e000003,Charleston Area Medical Center,Wed Apr 24 2013 11:59:28 GMT-0400 (Eastern Daylight Time),1.36682E+12,Wed Jan 27 2021 12:24:39 GMT-0500 (Eastern Standard Time),1.61177E+12,voice
