ID,NAME,CREATED,CREATED (MS),UPDATED,UPDATED (MS),TAGS,Patient Count,Encounter Count,Interaction Count,Enrollment Count,Call Attempts Count,Archived Call Attempts Count,Patient Issues,Patient Events,Unit Visits
5519b9135241491e373c0200,Shannon Medical Center,Mon Mar 30 2015 16:58:59 GMT-0400 (Eastern Daylight Time),1.42775E+12,Wed Mar 31 2021 14:15:50 GMT-0400 (Eastern Daylight Time),1.61721E+12,"hl7,orchid,voice",57159,2747150,141301,0,121,226597,15573,0,2862107
57b3270c677aff0b90d10dab,Rome Memorial Hospital,Tue Aug 16 2016 10:45:32 GMT-0400 (Eastern Daylight Time),1.47136E+12,Tue Apr 06 2021 15:19:38 GMT-0400 (Eastern Daylight Time),1.61774E+12,voice,13081,22363,10066,0,9,24880,1428,0,22364
59893d6974410f2220d54d06,Eskenazi Health,Tue Aug 08 2017 00:26:17 GMT-0400 (Eastern Daylight Time),1.50217E+12,Mon Feb 08 2021 17:32:08 GMT-0500 (Eastern Standard Time),1.61282E+12,"appointment reminders,hl7,siu,voice",165739,5086936,1328658,0,20472,2421748,1056,0,5413919
5b3e1f27ff1672feb3fb80df,RCCH HealthCare Partners,Thu Jul 05 2018 09:37:43 GMT-0400 (Eastern Daylight Time),1.5308E+12,Thu Apr 15 2021 13:54:24 GMT-0400 (Eastern Daylight Time),1.61851E+12,"hl7,implementation,orchid,voice",513379,1930492,321300,0,698,692699,38855,0,2462624
5b60819ad27cbe9e835cc139,Southcoast Health,Tue Jul 31 2018 11:34:50 GMT-0400 (Eastern Daylight Time),1.53305E+12,Wed Apr 21 2021 09:55:50 GMT-0400 (Eastern Daylight Time),1.61901E+12,"hl7,implementation,orchid,sso",123968,708292,24784,0,0,0,477,0,811614
51c9ccbb677aff4218000528,Sentara Healthcare,Tue Jun 25 2013 13:00:43 GMT-0400 (Eastern Daylight Time),1.37218E+12,Fri Apr 23 2021 12:32:00 GMT-0400 (Eastern Daylight Time),1.6192E+12,"orchid,sftp,voice",1239215,3246521,1006143,1,672,1558961,192893,0,8840683
51c0c559677affbffc001ed2,Providence Health & Services,Tue Jun 18 2013 16:38:49 GMT-0400 (Eastern Daylight Time),1.37159E+12,Fri Apr 30 2021 09:06:55 GMT-0400 (Eastern Daylight Time),1.61979E+12,"hl7,orchid,sso,voice",3151709,12756250,2170976,1,140,291832,70408,0,16124124
5175a60b1b85b061b3000089,Camden Clark Medical Center,Mon Apr 22 2013 17:05:15 GMT-0400 (Eastern Daylight Time),1.36666E+12,Thu Dec 17 2020 06:51:05 GMT-0500 (Eastern Standard Time),1.60821E+12,voice,43630,70533,46177,0,0,101346,6347,0,71438
55faceb85241492088930800,Norton Healthcare,Thu Sep 17 2015 10:31:20 GMT-0400 (Eastern Daylight Time),1.4425E+12,Tue Apr 20 2021 15:43:37 GMT-0400 (Eastern Daylight Time),1.61895E+12,"hl7,orchid,voice",457937,3478814,756778,1,90,111542,18768,0,4031736
57e198204004123a2d758980,Mon General Hospital ,Tue Sep 20 2016 16:12:16 GMT-0400 (Eastern Daylight Time),1.4744E+12,Tue Dec 15 2020 09:59:37 GMT-0500 (Eastern Standard Time),1.60804E+12,orchid,435,90,75,0,0,0,7,0,90
57e2b9f7677aff4c4bdec324,King Faisal Specialist Hospital and Research Centre,Wed Sep 21 2016 12:48:55 GMT-0400 (Eastern Daylight Time),1.47448E+12,Tue Dec 15 2020 09:59:37 GMT-0500 (Eastern Standard Time),1.60804E+12,"international,pilot",4,3,13,0,0,0,12,0,3
583ec08a8e82a8782c2f0fd2,Northwest Michigan Surgery Center,Wed Nov 30 2016 07:05:30 GMT-0500 (Eastern Standard Time),1.48051E+12,Tue Mar 02 2021 12:16:27 GMT-0500 (Eastern Standard Time),1.61471E+12,"asc,sftp,voice",45471,66587,57950,0,33,105658,3179,0,66506
58dd445b9c055263862ee74b,University of Illinois,Thu Mar 30 2017 13:46:03 GMT-0400 (Eastern Daylight Time),1.4909E+12,Thu Apr 29 2021 15:44:15 GMT-0400 (Eastern Daylight Time),1.61973E+12,"hl7,orchid,voice",195012,3511098,149740,0,171,142140,8801,0,3810159
596f34d4d27cbe6ac13c93e2,Covenant Health,Wed Jul 19 2017 06:30:44 GMT-0400 (Eastern Daylight Time),1.50046E+12,Wed Apr 28 2021 11:13:41 GMT-0400 (Eastern Daylight Time),1.61962E+12,"view,voice",146646,825013,22382,85860,88,31859,44176,0,1080420
59d82188d27cbe7678087bbe,Tri-City Medical Center,Fri Oct 06 2017 20:36:24 GMT-0400 (Eastern Daylight Time),1.50734E+12,Tue Jan 26 2021 22:01:47 GMT-0500 (Eastern Standard Time),1.61172E+12,"hl7,orchid",113796,389874,13378,0,0,0,65,0,457850
5a3973a7ff167292f70caf2c,Alacare Home Health,Tue Dec 19 2017 15:16:39 GMT-0500 (Eastern Standard Time),1.51371E+12,Sat Apr 24 2021 17:07:04 GMT-0400 (Eastern Daylight Time),1.6193E+12,"hha,pilot,sftp,voice",25436,45510,85545,0,258,183183,33156,0,48824
5175aab31b85b034fb00007e,Upstate University Hospital,Mon Apr 22 2013 17:25:07 GMT-0400 (Eastern Daylight Time),1.36667E+12,Mon Apr 12 2021 14:37:31 GMT-0400 (Eastern Daylight Time),1.61825E+12,voice,111564,187159,140761,52257,159,402739,20066,0,187321
