ID,NAME,CREATED,CREATED (MS),UPDATED,UPDATED (MS),TAGS,Patient Count,Encounter Count,Interaction Count,Enrollment Count,Call Attempts Count,Archived Call Attempts Count,Patient Issues,Patient Events,Unit Visits
5c6f8101ff167233097621ec,SightMD,Thu Feb 21 2019 23:56:33 GMT-0500 (Eastern Standard Time),1.55081E+12,Tue Jan 26 2021 22:01:11 GMT-0500 (Eastern Standard Time),1.61172E+12,"appointment reminders,implementation,preventive,sftp",250168,587434,658034,0,8031,1292936,60861,0,592094
5c8bffe374410f54b353c239,Jupiter Medical Center,Fri Mar 15 2019 15:41:24 GMT-0400 (Eastern Daylight Time),1.55268E+12,Tue Jan 26 2021 22:01:30 GMT-0500 (Eastern Standard Time),1.61172E+12,"hl7,implementation,orchid,sftp,sso",35430,142078,13610,0,0,0,294,2,251325
5ccaf43cff167268f7aef4c0,Stony Brook Community Medical Center,Thu May 02 2019 09:44:28 GMT-0400 (Eastern Daylight Time),1.5568E+12,Tue Apr 06 2021 10:18:23 GMT-0400 (Eastern Daylight Time),1.61772E+12,"appointment reminders,hl7,implementation,voice",69631,449182,179757,0,7058,315585,161137,0,408343
5de9615aff1672b488aab42a,Sarasota Memorial Hospital,Thu Dec 05 2019 14:58:18 GMT-0500 (Eastern Standard Time),1.57558E+12,Fri Apr 30 2021 15:39:35 GMT-0400 (Eastern Daylight Time),1.61981E+12,"hl7,orchid",48868,218642,8480,0,0,0,203,0,351210
5e0e1c99ff1672435dfe154c,Licking Memorial Hospital,Thu Jan 02 2020 11:38:49 GMT-0500 (Eastern Standard Time),1.57798E+12,Fri Mar 05 2021 11:01:36 GMT-0500 (Eastern Standard Time),1.61496E+12,"hl7,implementation,sso",5153,19616,78,0,0,0,0,55,42220
5efa4ab774410f5aff987f55,One Homecare Solutions,Mon Jun 29 2020 16:10:31 GMT-0400 (Eastern Daylight Time),1.59346E+12,Thu Dec 17 2020 06:54:35 GMT-0500 (Eastern Standard Time),1.60821E+12,,0,0,0,0,0,0,0,0,0
5f4d41c2ff1672a740672261,Phelps Health,Mon Aug 31 2020 14:30:26 GMT-0400 (Eastern Daylight Time),1.5989E+12,Tue Apr 06 2021 14:04:56 GMT-0400 (Eastern Daylight Time),1.61773E+12,,0,0,0,0,0,0,0,0,0
5c5db16eff16727387d03f13,Aurora at Home,Fri Feb 08 2019 11:42:22 GMT-0500 (Eastern Standard Time),1.54964E+12,Tue Apr 27 2021 16:10:14 GMT-0400 (Eastern Daylight Time),1.61955E+12,"hha,sftp",31796,6105,109821,0,432,260468,17119,96,60815
5d485ddcd27cbe03be05c5e9,iCare,Mon Aug 05 2019 12:48:28 GMT-0400 (Eastern Daylight Time),1.56502E+12,Tue Jan 26 2021 22:01:13 GMT-0500 (Eastern Standard Time),1.61172E+12,"preventive,sftp",514,602,600,0,1,1384,591,0,667
5f6cfa87d27cbe1015ecf0b2,Quinn Test CP,Thu Sep 24 2020 15:59:03 GMT-0400 (Eastern Daylight Time),1.60098E+12,Thu Sep 24 2020 16:03:36 GMT-0400 (Eastern Daylight Time),1.60098E+12,,0,0,0,0,0,0,0,0,0
605c7eefd27cbe72e098319e,Guardian Angels Elim Home Care and Hospice,Thu Mar 25 2021 08:15:43 GMT-0400 (Eastern Daylight Time),1.61667E+12,Tue Apr 13 2021 15:58:36 GMT-0400 (Eastern Daylight Time),1.61834E+12,hl7,0,0,0,0,0,0,0,0,0
607890f974410f33fdfcea7d,El Camino Health,Thu Apr 15 2021 15:16:09 GMT-0400 (Eastern Daylight Time),1.61851E+12,Fri Apr 30 2021 16:30:52 GMT-0400 (Eastern Daylight Time),1.61981E+12,,0,0,0,0,0,0,0,0,0
607efbcdd27cbe246d3c746e,Carpenter Health,Tue Apr 20 2021 12:05:33 GMT-0400 (Eastern Daylight Time),1.61893E+12,Tue Apr 20 2021 12:08:02 GMT-0400 (Eastern Daylight Time),1.61893E+12,,0,0,0,0,0,0,0,0,0
