ID,NAME,Current Patient Count,Previous Patient Count,Patient Count Difference,Patient Growth Percentage,Current Encounter Count,Previous Encounter Count,Encounter Count Difference,Encounter Growth Percentage,Current Interaction Count,Previous Interaction Count,Interaction Count Difference,Interaction Growth Percentage,Current Archived Call Attempts Count,Previous Archived Call Attempts Count,Archived Call Attempts Count Difference,Archived Call Attempts Growth Percentage,Current Patient Issue Count,Previous Patient Issue Count,Patient Issue Count Difference,Patient Issue Growth Percentage,Current Patient Events Count,Previous Patient Events Count,Patient Events Count Difference,Patient Events Growth Percentage,Current Unit Visits Count,Previous Unit Visits Count,Unit Visits Count Difference,Unit Visits Growth Percentage
5e6fdb96ff16724bb609d626,Keck Medicine of USC,121702,5,121697,2433940.0,491612,11,491601,4469100.0,487234,1,487233,48723300.0,851113,4,851109,21277725.0,10188,0,10188,,466942,0,466942,,505561,6,505555,8425916.67
5ea76302ff1672344f700d05,Well Care Home Health (HL7 Test CP),12,0,12,,12,0,12,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,12,0,12,
5eb247d0d27cbe3a85648c8c,Chinchilla Mansion,2,0,2,,2,0,2,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,
5eb9b129ff1672391b6812ba,UC Irvine,11274,0,11274,,15117,0,15117,,14281,0,14281,,29763,0,29763,,3003,0,3003,,10273,0,10273,,15155,0,15155,
5efa4ab774410f5aff987f55,One Homecare Solutions,12742,0,12742,,20909,0,20909,,13725,0,13725,,25803,0,25803,,1963,0,1963,,12169,0,12169,,21281,0,21281,
5efc8b7bff1672fe6965e44f,AMSURG,33009,0,33009,,34051,0,34051,,73712,0,73712,,153621,0,153621,,1963,0,1963,,28230,0,28230,,34050,0,34050,
5f16f01174410facfa8ce7cd,Regal Medical Group,1110,0,1110,,296,0,296,,1406,0,1406,,2726,0,2726,,369,0,369,,1554,0,1554,,1525,0,1525,
5f4d41c2ff1672a740672261,Phelps Health,64714,0,64714,,568144,0,568144,,427672,0,427672,,586031,0,586031,,0,0,0,,395053,0,395053,,605660,0,605660,
5f7f73c7ff16727be9020e62,HCA,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
5fc693e474410f1b1aad6bed,Boone Memorial Hospital,15056,0,15056,,63061,0,63061,,7529,0,7529,,14884,0,14884,,1045,0,1045,,8320,0,8320,,98224,0,98224,
5ffdbd20ff1672dfd8901854,EvergreenHealth (HL7 Test),25776,0,25776,,16209,0,16209,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,16692,0,16692,
5ffdbd77ff1672e09c8f2f1b,EvergreenHealth,105680,0,105680,,518571,0,518571,,1017,0,1017,,0,0,0,,44,0,44,,0,0,0,,606940,0,606940,
5ffdbe2bff1672e1808e53f4,Homecare Holdings,9406,0,9406,,10710,0,10710,,8123,0,8123,,15867,0,15867,,3480,0,3480,,4,0,4,,12377,0,12377,
5ffdbe5fff1672df03927684,HL7 Test Care Provider (At Home Healthcare),0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
605c7eefd27cbe72e098319e,Guardian Angels Elim Home Care and Hospice,9,0,9,,9,0,9,,7,0,7,,9,0,9,,5,0,5,,13,0,13,,8,0,8,
607890f974410f33fdfcea7d,El Camino Health,3046,0,3046,,3218,0,3218,,2781,0,2781,,7715,0,7715,,465,0,465,,2940,0,2940,,3397,0,3397,
607efbcdd27cbe246d3c746e,Carpenter Health Network,35874,0,35874,,58251,0,58251,,4224,0,4224,,45433,0,45433,,295,0,295,,505,0,505,,60940,0,60940,
591db38dd27cbe8dc3f577b5,Trinity Health of NE,109443,71661,37782,52.72,261641,184769,76872,41.6,327393,254221,73172,28.78,1848214,1216295,631919,51.95,38114,24980,13134,52.58,47904,131,47773,36467.94,262017,185077,76940,41.57
593dfa20d27cbe7b8f0bf41d,John T. Mather Memorial Hospital,40167,24625,15542,63.11,104468,35117,69351,197.49,34470,22258,12212,54.87,114552,64667,49885,77.14,8424,5151,3273,63.54,11230,0,11230,,203402,126794,76608,60.42
59516787d27cbede1924d757,Community Health Network,694969,304890,390079,127.94,9680174,4047290,5632884,139.18,4924588,453683,4470905,985.47,5246529,0,5246529,,36193,10679,25514,238.92,3631180,14,3631166,25936900.0,9379493,4366178,5013315,114.82
59555bcdd27cbeae95530829,Johns Hopkins Health System,956380,211598,744782,351.98,10405243,1302283,9102960,699.0,5898649,105520,5793129,5490.08,6342012,0,6342012,,1826,1030,796,77.28,5006349,15,5006334,33375560.0,16860837,1518902,15341935,1010.07
596f34d4d27cbe6ac13c93e2,Covenant Health,448134,146646,301488,205.59,1451375,825013,626362,75.92,51368,22382,28986,129.51,54890,31859,23031,72.29,71273,44176,27097,61.34,168351,0,168351,,1856290,1080420,775870,71.81
5978d9d4d27cbea259272282,Seattle Childrens Hospital,28824,18573,10251,55.19,44982,29711,15271,51.4,43297,28010,15287,54.58,101080,67588,33492,49.55,5930,3588,2342,65.27,10327,0,10327,,44982,29711,15271,51.4
59807063d27cbe6df65f2c22,Carilion Clinic,326819,209518,117301,55.99,914119,646488,267631,41.4,288825,83144,205681,247.38,0,0,0,,2220,2112,108,5.11,3974,18,3956,21977.78,1721263,1221918,499345,40.87
59893d6974410f2220d54d06,Eskenazi Health,307651,165739,141912,85.62,7802339,5086936,2715403,53.38,1671178,1328658,342520,25.78,2932914,2421748,511166,21.11,1845,1056,789,74.72,300679,0,300679,,8146031,5413919,2732112,50.46
59bc2849ff167259af2f1c8c,Staten Island PPS,87284,87284,0,0.0,145538,145538,0,0.0,107714,85109,22605,26.56,1559620,1559620,0,0.0,2437,2437,0,0.0,0,0,0,,145754,145754,0,0.0
59c091e3d27cbe326af69d68,CHI Health,843103,401409,441694,110.04,9718901,5726047,3992854,69.73,671332,601329,70003,11.64,213052,129849,83203,64.08,23381,14321,9060,63.26,49653,0,49653,,10815964,6218343,4597621,73.94
59c4025fd27cbebc83ebcf22,Chattanooga Endoscopy Center,23691,15987,7704,48.19,26680,18134,8546,47.13,22465,17549,4916,28.01,38861,30969,7892,25.48,911,730,181,24.79,2110,23,2087,9073.91,26680,18134,8546,47.13
59d82188d27cbe7678087bbe,Tri-City Medical Center,167522,113796,53726,47.21,487420,389874,97546,25.02,13522,13378,144,1.08,0,0,0,,65,65,0,0.0,515,0,515,,571091,457850,113241,24.73
59dcd0bcff167278f2dea538,Nascentia Health,28089,8652,19437,224.65,29535,12716,16819,132.27,46444,27450,18994,69.19,97362,58937,38425,65.2,14057,11489,2568,22.35,8540,0,8540,,41087,21262,19825,93.24
59ee651bd27cbe65baa14a23,Our Lady of the Lake Regional Medical Center,358662,98798,259864,263.03,1501262,1099051,402211,36.6,198512,155872,42640,27.36,0,0,0,,6632,5062,1570,31.02,2476,0,2476,,1945814,1468035,477779,32.55
59f8b966d27cbeb0af4a2940,Marketing-Events,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
5a0f22d4ff16725c1630d97c,Priority Partners,202680,50219,152461,303.59,818358,407072,411286,101.04,536860,265485,271375,102.22,2303022,1162601,1140421,98.09,386492,166462,220030,132.18,206683,0,206683,,820218,409315,410903,100.39
5a3973a7ff167292f70caf2c,Alacare Home Health,25436,25436,0,0.0,45510,45510,0,0.0,91063,85545,5518,6.45,183183,183183,0,0.0,33156,33156,0,0.0,0,0,0,,48824,48824,0,0.0
5a86345bd27cbe355e8d1d51,StomatCare,192960,192960,0,0.0,614523,614523,0,0.0,342432,319272,23160,7.25,2278421,2278421,0,0.0,26384,26384,0,0.0,0,0,0,,618869,618869,0,0.0
5a942ea8d27cbe7de07adc06,White Horse Village,2,2,0,0.0,2,2,0,0.0,5,5,0,0.0,14,14,0,0.0,2,2,0,0.0,0,0,0,,2,2,0,0.0
5a944e9fd27cbe7a4c7adc33,Schneck Medical Center,82352,29881,52471,175.6,752399,399408,352991,88.38,446992,226459,220533,97.38,617469,327082,290387,88.78,147884,79630,68254,85.71,147024,0,147024,,103549,103517,32,0.03
