ID,NAME
60a7ce3ad27cbe55bc4f15c1,One Brooklyn Health
5175aa7e1b85b034fb00007a,Saint Francis Health- Tulsa
60e4545974410f2ace2e1f5d,Lauren Test Provider
609439acd27cbe0ec4012adc,CareCentrix
60eee987ff1672d66efdeda2,Stony Brook Medicine (Outpatient)
60a3e1d5ff167201e8360a03,Duke Health
607efbcdd27cbe246d3c746e,Carpenter Health Network
60a7f7c874410f30730b6d64,Carpenter Health (HL7 Test Provider)
60a6a42774410f5af7470ae0,Clark Memorial Health
61560dd1d27cbe068d5f443f,Pipeline Health
591db38dd27cbe8dc3f577b5,Trinity Health of NE
61448a58ff1672969f5315c2,West Tennessee Healthcare
60e4576574410f2ace2e226f,Lauren C Test Provider
