ID,NAME
56f00372acc0db20db00025b,Akron Children's Hospital
5d372c43d27cbef3dfe62fd1,Amerikan Hastanesi
52df0911677aff7bc3000097,UC Davis
5b06f54eff1672b95687c44b,Revival Home Health
605c7eefd27cbe72e098319e,Guardian Angels Elim Home Care and Hospice
5d9668e2d27cbe7843d42d5c,San Joaquin General Hospital
55365e525241497d90580100,Baylor Scott & White Health
5c8bffe374410f54b353c239,Jupiter Medical Center
517584b01b85b061b300003d,Hill Country Memorial
5175a6c21b85b034fb000073,Franciscan Health System
591b3c8dd27cbe3b8712b576,Peninsula Regional Medical Center
5e385f88ff167237f8c782d5,Hamilton Health Care System
57a48b46677aff47c8c8c34e,Cedar Community
5bb3aadaff1672c192a61de9,UMass Memorial Medical Center
560188d45241493461290200,St. David's HealthCare
58cfe3a074410f2d1ecca7a9,University of Virginia Health
5bd8b72b74410f300b3459a9,CHI Mercy Medical
5a86345bd27cbe355e8d1d51,StomatCare
5b60819ad27cbe9e835cc139,Southcoast Health
54d2252752414932c1620000,Palmetto Health Tuomey
5dcdc295d27cbe63f6c3df60,Cabell Huntington Hospital
5c86821774410faa476d70ce,North Mississippi Health System
5f4d41c2ff1672a740672261,Phelps Health
5de9615aff1672b488aab42a,Sarasota Memorial Hospital
5ffdbe2bff1672e1808e53f4,Homecare Holdings
5c5db16eff16727387d03f13,Aurora at Home
517569541b85b034fb000003,Middlesex Hospital
5ba538c7ff1672c3f4d69fde,Care Gaps Disney
59ee651bd27cbe65baa14a23,Our Lady of the Lake Regional Medical Center
5eb247d0d27cbe3a85648c8c,Chinchilla Mansion
5bff0048d27cbe269edde145,Health First
5ccaf480ff16726c99ab5401,Scripps Health System
5e4323dcff16723c334beeeb,OptimaHealth
57882c6b4004122fb14f4094,Sturdy Memorial Hospital
5ceecbd0ff16729c31b2d17c,St. Bernards Medical Center
5d485ddcd27cbe03be05c5e9,iCare
5175a6271b85b061b300008c,Prime Healthcare
5b0ef760ff16727e2a621be8,Partners Healthcare
55940e9c5241495e497c0100,Oneida Health Care
5dd5960aff1672272a9a1f70,Culpeper Hospital
5e4d58ebd27cbee741c1a244,Cone Health
58f5155874410f7afcd151ea,Selin CP Name
517801601b85b02a1e000003,Charleston Area Medical Center
5cd03c15d27cbe3fc1eab596,Charles B. Wang Community Health Center
59555bcdd27cbeae95530829,Johns Hopkins Health System
5b182aacd27cbe7487a74365,Marshall Health
5ffdbd20ff1672dfd8901854,EvergreenHealth (HL7 Test)
53d915aa61706f4842020000,United Regional Hospital
5bd21c4b74410f37d4fcfc76,Good Samaritan Society
5ca64c89d27cbef492462703,MultiCare Health System
54614dcd5241497e8e370000,HAHV
5b8e90cdff16721fae082110,Tealwood Senior Living
5785446a677aff398bd74cf6,University of Alabama Birmingham
5522cb8d5241496bfe2e0400,Kingsbrook Jewish Medical Center
5e0e1c99ff1672435dfe154c,Licking Memorial Hospital
55075e4e5241491dc95b0000,Peterson Regional Medical Center
53765bdf5241492816090000,Guadalupe Regional Medical Center
559d9b1452414928ff9d0000,University of Pennsylvania Health System
5175aa971b85b034fb00007c,St. Joseph's Hospital and Health Center
596f34d4d27cbe6ac13c93e2,Covenant Health
583ec08a8e82a8782c2f0fd2,Northwest Michigan Surgery Center
53dfa9af5241492480080000,UCSD Medical Center
51ae764dacc0dbd4a700000d,SCL - Lutheran Medical Center
59807063d27cbe6df65f2c22,Carilion Clinic
516e91ab26a97a325d000001,Bronx Lebanon Hospital Center
5f7f73c7ff16727be9020e62,HCA
5cc71131ff167294e9961eed,Buckeye Home Health
574f072dacc0db06c8000046,Providigm
5b6dac0e74410f377770e4df,Hill Physicians Medical Group
56549db752414960e31e0200,Carle Foundation
