ID,NAME,CREATED,CREATED (MS),UPDATED,UPDATED (MS),TAGS,Patient Count,Encounter Count,Interaction Count,Enrollment Count,Call Attempts Count,Archived Call Attempts Count,Patient Issues,Patient Events,Unit Visits
5e6fdb96ff16724bb609d626,Keck Medicine of USC,Mon Mar 16 2020 16:03:34 GMT-0400 (Eastern Daylight Time),1584390000000.0,Fri Aug 20 2021 17:39:28 GMT-0400 (Eastern Daylight Time),1629500000000.0,,159550,599637,490436,0,1064,857999,10775,463624,616833
5ea76302ff1672344f700d05,Well Care Home Health (HL7 Test CP),Mon Apr 27 2020 18:56:02 GMT-0400 (Eastern Daylight Time),1588030000000.0,Mon Aug 09 2021 21:47:54 GMT-0400 (Eastern Daylight Time),1628560000000.0,,12,12,0,0,0,0,0,0,12
5eb247d0d27cbe3a85648c8c,Chinchilla Mansion,Wed May 06 2020 01:14:56 GMT-0400 (Eastern Daylight Time),1588740000000.0,Mon Aug 09 2021 21:47:54 GMT-0400 (Eastern Daylight Time),1628560000000.0,,2,2,0,0,0,0,0,0,1
5eb9b129ff1672391b6812ba,UC Irvine,Mon May 11 2020 16:10:17 GMT-0400 (Eastern Daylight Time),1589230000000.0,Fri Sep 03 2021 11:06:57 GMT-0400 (Eastern Daylight Time),1630680000000.0,"sftp,voice",13867,18197,17453,12,1057,37243,3777,13122,18284
5efa4ab774410f5aff987f55,One Homecare Solutions,Mon Jun 29 2020 16:10:31 GMT-0400 (Eastern Daylight Time),1593460000000.0,Mon Aug 09 2021 21:47:54 GMT-0400 (Eastern Daylight Time),1628560000000.0,,15312,25330,18581,0,1,29304,1963,12169,25380
5efc8b7bff1672fe6965e44f,AMSURG,Wed Jul 01 2020 09:11:23 GMT-0400 (Eastern Daylight Time),1593610000000.0,Mon Aug 09 2021 21:47:54 GMT-0400 (Eastern Daylight Time),1628560000000.0,,38840,40126,80431,0,2688,163856,2208,33695,40125
5f16f01174410facfa8ce7cd,Regal Medical Group,Tue Jul 21 2020 09:39:29 GMT-0400 (Eastern Daylight Time),1595340000000.0,Tue Sep 28 2021 14:05:23 GMT-0400 (Eastern Daylight Time),1632850000000.0,"sftp,voice",1409,1842,1792,0,76,3340,453,1927,1884
5f4d41c2ff1672a740672261,Phelps Health,Mon Aug 31 2020 14:30:26 GMT-0400 (Eastern Daylight Time),1598900000000.0,Tue Sep 21 2021 10:04:55 GMT-0400 (Eastern Daylight Time),1632230000000.0,,75929,709774,548726,0,56394,708878,0,473161,724071
5f7f73c7ff16727be9020e62,HCA,Thu Oct 08 2020 16:17:11 GMT-0400 (Eastern Daylight Time),1602190000000.0,Mon Aug 09 2021 21:47:54 GMT-0400 (Eastern Daylight Time),1628560000000.0,"implementation,voice",0,0,0,0,0,0,0,0,0
5fc693e474410f1b1aad6bed,Boone Memorial Hospital,Tue Dec 01 2020 14:05:08 GMT-0500 (Eastern Standard Time),1606850000000.0,Thu Sep 09 2021 16:03:21 GMT-0400 (Eastern Daylight Time),1631220000000.0,"implementation,voice",21635,90530,11726,0,1415,20626,1817,12496,137538
